t,conf_u,conf_l,l_75,l_25,uu,ll
1,2.315019246,2.484980754,2.15,2.6,1.75,3.25
2,2.264405658,2.435594342,2.15,2.6,1.75,3.25
3,2.304895176,2.495104824,2.1,2.6,1.75,3.25
4,2.254895176,2.445104824,2.1,2.6,1.7,3
5,2.30557694,2.49442306,2.1,2.6,1.7,3.333333333
6,2.28057694,2.46942306,2.1,2.6,1.7,3.333333333
7,2.25557694,2.44442306,2.1,2.6,1.7,3.333333333
8,2.25557694,2.44442306,2.1,2.6,1.7,3.333333333
9,2.256244249,2.443755751,2.1,2.6,1.7,3.25
10,2.256244249,2.443755751,2.1,2.6,1.7,3.25
11,2.20557694,2.39442306,2.1,2.6,1.65,3.25
12,2.196134634,2.403865366,2.05,2.6,1.65,3.25
13,2.130248035,2.369751965,1.975,2.6,1.6,3.2
14,2.125457957,2.374542043,1.95,2.6,1.6,3.4
15,2.130248035,2.369751965,1.975,2.6,1.6,3.4
16,2.119618271,2.330381729,1.95,2.5,1.6,3
17,2.094618271,2.305381729,1.95,2.5,1.6,3
18,2.094618271,2.305381729,1.95,2.5,1.6,3
19,2.054895176,2.245104824,1.9,2.4,1.5,3
20,2.016413481,2.233586519,1.875,2.45,1.5,3
21,2.03057694,2.21942306,1.9,2.4,1.5,3
22,1.970307612,2.129692388,1.875,2.3,1.4,2.75
23,1.920307612,2.079692388,1.85,2.275,1.4,2.75
24,1.965619824,2.134380176,1.85,2.3,1.4,2.9
25,1.910932037,2.089067963,1.8,2.275,1.4,2.8
26,1.874995399,2.025004601,1.8,2.2,1.4,2.8
27,1.874995399,2.025004601,1.8,2.2,1.35,2.75
28,1.865619824,2.034380176,1.75,2.2,1.35,2.6
29,1.815619824,1.984380176,1.75,2.2,1.35,2.6
30,1.829683187,1.970316813,1.75,2.125,1.35,2.6
31,1.799995399,1.950004601,1.7,2.1,1.35,2.6
32,1.774995399,1.925004601,1.65,2.05,1.3,2.6
33,1.722651505,1.877348495,1.6375,2.05,1.3,2.6
34,1.720307612,1.879692388,1.625,2.05,1.25,2.35
35,1.720307612,1.879692388,1.575,2,1.2,2.35
36,1.670307612,1.829692388,1.55,1.975,1.2,2.35
37,1.634370974,1.765629026,1.55,1.9,1.2,2.35
38,1.632027081,1.767972919,1.525,1.8875,1.18,2.3
39,1.579683187,1.720316813,1.5,1.875,1.2,2.2
40,1.549995399,1.700004601,1.45,1.85,1.15,2.2
41,1.516207846,1.683792154,1.4,1.85,1.1,2.2
42,1.530173205,1.669826795,1.4,1.775,1.1,2.1
43,1.482500765,1.617499235,1.3875,1.75,1.1,2.1
44,1.464483445,1.585516555,1.375,1.7,1.05,2
45,1.394138564,1.505861436,1.35,1.65,1.05,1.95
46,1.391811004,1.508188996,1.3,1.6125,1,2
47,1.364483445,1.485516555,1.275,1.6,1,1.95
48,1.322328325,1.452671675,1.25,1.6,0.98,1.9
49,1.309828325,1.440171675,1.2,1.55,0.98,1.95
50,1.242276516,1.357723484,1.19,1.5,0.909090909,1.8
51,1.219138564,1.330861436,1.15,1.45,0.909090909,1.8
52,1.194138564,1.305861436,1.1,1.4,0.909090909,1.8
53,1.144138564,1.255861436,1.1,1.4,0.909090909,1.7
54,1.086714868,1.213285132,1.05,1.3875,0.85,1.75
55,1.092184567,1.187815433,1.045,1.3,0.769230769,1.55
56,1.053122125,1.146877875,1,1.25,0.769230769,1.55
57,1.034059682,1.125940318,0.98,1.225,0.769230769,1.55
58,0.996872355,1.083127645,0.935,1.165,0.7,1.4
59,0.956157237,1.043842763,0.904545455,1.14,0.7,1.45
60,0.962759043,1.037240957,0.9,1.1,0.7,1.4
61,0.876872355,0.963127645,0.85,1.08,0.7,1.3
62,0.85499724,0.94500276,0.8,1.04,0.615384615,1.3
63,0.86624793,0.93375207,0.8,0.98,0.6,1.25
64,0.809685027,0.890314973,0.75,0.965,0.6,1.25
65,0.8124977,0.8875023,0.75,0.95,0.6,1.14
66,0.765907,0.834093,0.727272727,0.909090909,0.52,1.1
67,0.721873275,0.778126725,0.7,0.85,0.52,1.05
68,0.718123045,0.781876955,0.65,0.82,0.52,1.05
69,0.669784621,0.730215379,0.64,0.8,0.48,0.98
70,0.638339749,0.694993585,0.6,0.75,0.444444444,0.95
71,0.616522733,0.683477267,0.55,0.727272727,0.44,0.92
72,0.590205133,0.640564098,0.533333333,0.666666667,0.44,0.85
73,0.560805877,0.610622694,0.52,0.65,0.4,0.833333333
74,0.519566456,0.580433544,0.48,0.64,0.4,0.8
75,0.506843613,0.559823053,0.444444444,0.585714286,0.363636364,0.727272727
76,0.455623505,0.504376495,0.42,0.55,0.33,0.7
77,0.423818179,0.46507071,0.41,0.52,0.3,0.666666667
78,0.41443025,0.46556975,0.363636364,0.5,0.27,0.7
79,0.384847555,0.415152445,0.363636364,0.444444444,0.27,0.55
80,0.345946909,0.381325818,0.325,0.42,0.2,0.52
81,0.328487237,0.354846096,0.292857143,0.363636364,0.22,0.444444444
82,0.293834039,0.326165961,0.27,0.356818182,0.181818182,0.444444444
83,0.262620887,0.297379113,0.24,0.333333333,0.166666667,0.4
84,0.238177474,0.261822526,0.222222222,0.285714286,0.142857143,0.363636364
85,0.211800872,0.23042135,0.2,0.25,0.133333333,0.32
86,0.164311502,0.184173346,0.166666667,0.22,0.1,0.3
87,0.154253014,0.179080319,0.133333333,0.2,0.071428571,0.27
88,0.116986688,0.133013312,0.111111111,0.153846154,0.071428571,0.2
89,0.092187021,0.107812979,0.083333333,0.125,0.04,0.166666667
90,0.06211453,0.080742613,0.0625,0.111111111,0.02,0.153846154
91,0.04930355,0.068752006,0.05,0.1,0.01,0.166666667
92,0.044200563,0.066910548,0.0325,0.077380952,0.02,0.125
