event_id,current_time,event_starttimestamp,event_state,outcome_home,outcome_draw,outcome_away,outcome_unexpectedOddsTrend,outcome_startingOdds,event_home_score,event_away_score,event_time
1006049983,2020-01-30T17:51:43Z,2020-01-30T16:08:06Z,STARTED,11/10,10/13,16/1,True,1/6,1,1,79
1006105979,2020-01-30T17:51:43Z,2020-01-30T16:11:35Z,STARTED,,180/1,1000/1,False,4/11,4,1,83
1006103903,2020-01-30T17:51:43Z,2020-01-30T16:31:42Z,STARTED,50/1,9/1,1/18,False,7/25,0,1,61
1006105984,2020-01-30T17:51:43Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:51:43Z,2020-01-30T17:30:44Z,STARTED,,22/1,100/1,False,3/10,2,0,20
1006107245,2020-01-30T17:51:43Z,2020-01-30T17:31:05Z,STARTED,49/20,3/1,22/25,True,5/6,0,1,20
1006107510,2020-01-30T17:51:43Z,2020-01-30T17:33:52Z,STARTED,17/20,27/10,5/2,False,9/10,0,0,17
1006042012,2020-01-30T17:51:43Z,2020-01-30T17:34:41Z,STARTED,3/10,7/2,17/2,False,11/10,1,0,17
1006049983,2020-01-30T17:52:11Z,2020-01-30T16:08:06Z,STARTED,6/5,8/11,16/1,True,1/6,1,1,79
1006105979,2020-01-30T17:52:11Z,2020-01-30T16:11:35Z,STARTED,,180/1,1000/1,False,4/11,4,1,83
1006103903,2020-01-30T17:52:11Z,2020-01-30T16:31:42Z,STARTED,50/1,9/1,1/18,False,7/25,0,1,62
1006105984,2020-01-30T17:52:11Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:52:11Z,2020-01-30T17:30:44Z,STARTED,1/100,18/1,75/1,False,3/10,2,0,21
1006107245,2020-01-30T17:52:11Z,2020-01-30T17:31:05Z,STARTED,49/20,3/1,22/25,True,5/6,0,1,20
1006107510,2020-01-30T17:52:11Z,2020-01-30T17:33:52Z,STARTED,17/20,49/20,5/2,False,9/10,0,0,18
1006042012,2020-01-30T17:52:11Z,2020-01-30T17:34:41Z,STARTED,3/10,7/2,17/2,False,11/10,1,0,17
1006049983,2020-01-30T17:52:38Z,2020-01-30T16:08:06Z,STARTED,27/20,7/10,12/1,True,1/6,1,1,80
1006105979,2020-01-30T17:52:38Z,2020-01-30T16:11:35Z,STARTED,,180/1,1000/1,False,4/11,4,1,83
1006103903,2020-01-30T17:52:38Z,2020-01-30T16:31:42Z,STARTED,50/1,9/1,1/18,False,7/25,0,1,62
1006105984,2020-01-30T17:52:38Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:52:38Z,2020-01-30T17:30:44Z,STARTED,1/100,18/1,75/1,False,3/10,2,0,21
1006107245,2020-01-30T17:52:38Z,2020-01-30T17:31:05Z,STARTED,49/20,3/1,22/25,True,5/6,0,1,21
1006107510,2020-01-30T17:52:38Z,2020-01-30T17:33:52Z,STARTED,17/20,49/20,5/2,False,9/10,0,0,18
1006042012,2020-01-30T17:52:38Z,2020-01-30T17:34:41Z,STARTED,3/10,7/2,17/2,False,11/10,1,0,17
1006049983,2020-01-30T17:53:06Z,2020-01-30T16:08:06Z,STARTED,7/5,4/6,23/2,True,1/6,1,1,81
1006105979,2020-01-30T17:53:06Z,2020-01-30T16:11:35Z,STARTED,,180/1,1000/1,False,4/11,4,1,84
1006103903,2020-01-30T17:53:06Z,2020-01-30T16:31:42Z,STARTED,50/1,9/1,1/18,False,7/25,0,1,63
1006105984,2020-01-30T17:53:06Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:53:06Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,22
1006107245,2020-01-30T17:53:06Z,2020-01-30T17:31:05Z,STARTED,49/20,3/1,22/25,True,5/6,0,1,22
