"","x"
"1","0_1"
"2","100_12"
"3","101_12"
"4","102_12"
"5","103_12"
"6","10_1"
"7","10_10"
"8","10_11"
"9","10_12"
"10","10_2"
"11","10_3"
"12","10_4"
"13","10_5"
"14","10_6"
"15","10_7"
"16","10_8"
"17","10_9"
"18","11_1"
"19","11_10"
"20","11_11"
"21","11_12"
"22","11_2"
"23","11_3"
"24","11_4"
"25","11_5"
"26","11_6"
"27","11_7"
"28","11_8"
"29","11_9"
"30","12_1"
"31","12_10"
"32","12_11"
"33","12_12"
"34","12_2"
"35","12_3"
"36","12_4"
"37","12_5"
"38","12_6"
"39","12_7"
"40","12_8"
"41","12_9"
"42","13_1"
"43","13_10"
"44","13_11"
"45","13_12"
"46","13_2"
"47","13_3"
"48","13_4"
"49","13_5"
"50","13_6"
"51","13_7"
"52","13_8"
"53","13_9"
"54","14_1"
"55","14_10"
"56","14_11"
"57","14_12"
"58","14_2"
"59","14_3"
"60","14_4"
"61","14_5"
"62","14_6"
"63","14_7"
"64","14_8"
"65","14_9"
"66","15_1"
"67","15_10"
"68","15_11"
"69","15_12"
"70","15_2"
"71","15_3"
"72","15_4"
"73","15_5"
"74","15_6"
"75","15_7"
"76","15_8"
"77","15_9"
"78","16_1"
"79","16_10"
"80","16_11"
"81","16_12"
"82","16_2"
"83","16_3"
"84","16_4"
"85","16_5"
"86","16_6"
"87","16_7"
"88","16_8"
"89","16_9"
"90","17_1"
"91","17_10"
"92","17_11"
"93","17_12"
"94","17_2"
"95","17_3"
"96","17_4"
"97","17_5"
"98","17_6"
"99","17_7"
"100","17_8"
"101","17_9"
"102","18_1"
"103","18_10"
"104","18_11"
"105","18_12"
"106","18_2"
"107","18_3"
"108","18_4"
"109","18_5"
"110","18_6"
"111","18_7"
"112","18_8"
"113","18_9"
"114","19_1"
"115","19_10"
"116","19_11"
"117","19_12"
"118","19_2"
"119","19_3"
"120","19_4"
"121","19_5"
"122","19_6"
"123","19_7"
"124","19_8"
"125","19_9"
"126","1_1"
"127","1_10"
"128","1_11"
"129","1_2"
"130","1_3"
"131","1_4"
"132","1_5"
"133","1_6"
"134","1_7"
"135","1_8"
"136","1_9"
"137","20_1"
"138","20_10"
"139","20_11"
"140","20_12"
"141","20_2"
"142","20_3"
"143","20_4"
"144","20_5"
"145","20_6"
"146","20_7"
"147","20_8"
"148","20_9"
"149","21_1"
"150","21_10"
"151","21_11"
"152","21_12"
"153","21_2"
"154","21_3"
"155","21_4"
"156","21_5"
"157","21_6"
"158","21_7"
"159","21_8"
"160","21_9"
"161","22_1"
"162","22_10"
"163","22_11"
"164","22_12"
"165","22_2"
"166","22_3"
"167","22_4"
"168","22_5"
"169","22_6"
"170","22_7"
"171","22_8"
"172","22_9"
"173","23_1"
"174","23_10"
"175","23_11"
"176","23_12"
"177","23_2"
"178","23_3"
"179","23_4"
"180","23_5"
"181","23_6"
"182","23_7"
"183","23_8"
"184","23_9"
"185","24_1"
"186","24_10"
"187","24_11"
"188","24_12"
"189","24_2"
"190","24_3"
"191","24_4"
"192","24_5"
"193","24_6"
"194","24_7"
"195","24_8"
"196","24_9"
"197","25_1"
"198","25_10"
"199","25_11"
"200","25_12"
"201","25_2"
"202","25_3"
"203","25_4"
"204","25_5"
"205","25_6"
"206","25_7"
"207","25_8"
"208","25_9"
"209","26_1"
"210","26_10"
"211","26_11"
"212","26_12"
"213","26_2"
"214","26_3"
"215","26_4"
"216","26_5"
"217","26_6"
"218","26_7"
"219","26_8"
"220","26_9"
"221","27_1"
"222","27_10"
"223","27_11"
"224","27_12"
"225","27_2"
"226","27_3"
"227","27_4"
"228","27_5"
"229","27_6"
"230","27_7"
"231","27_8"
"232","27_9"
"233","28_1"
"234","28_10"
"235","28_11"
"236","28_12"
"237","28_2"
"238","28_3"
"239","28_4"
"240","28_5"
"241","28_6"
"242","28_7"
"243","28_8"
"244","28_9"
"245","29_1"
"246","29_10"
"247","29_11"
"248","29_12"
"249","29_2"
"250","29_3"
"251","29_4"
"252","29_5"
"253","29_6"
"254","29_7"
"255","29_8"
"256","29_9"
"257","2_1"
"258","2_10"
"259","2_11"
"260","2_2"
"261","2_3"
"262","2_4"
"263","2_5"
"264","2_6"
"265","2_7"
"266","2_8"
"267","2_9"
"268","30_1"
"269","30_10"
"270","30_11"
"271","30_12"
"272","30_2"
"273","30_3"
"274","30_4"
"275","30_5"
"276","30_6"
"277","30_7"
"278","30_8"
"279","30_9"
"280","31_1"
"281","31_10"
"282","31_11"
"283","31_12"
"284","31_2"
"285","31_3"
"286","31_4"
"287","31_5"
"288","31_6"
"289","31_7"
"290","31_8"
"291","31_9"
"292","32_1"
"293","32_10"
"294","32_11"
"295","32_12"
"296","32_2"
"297","32_3"
"298","32_4"
"299","32_5"
"300","32_6"
"301","32_7"
"302","32_8"
"303","32_9"
"304","33_1"
"305","33_10"
"306","33_11"
"307","33_12"
"308","33_2"
"309","33_3"
"310","33_4"
"311","33_5"
"312","33_6"
"313","33_7"
"314","33_8"
"315","33_9"
"316","34_1"
"317","34_10"
"318","34_11"
"319","34_12"
"320","34_2"
"321","34_3"
"322","34_4"
"323","34_5"
"324","34_6"
"325","34_7"
"326","34_8"
"327","34_9"
"328","35_1"
"329","35_10"
"330","35_11"
"331","35_12"
"332","35_2"
"333","35_3"
"334","35_4"
"335","35_5"
"336","35_6"
"337","35_7"
"338","35_8"
"339","35_9"
"340","36_1"
"341","36_10"
"342","36_11"
"343","36_12"
"344","36_2"
"345","36_3"
"346","36_4"
"347","36_5"
"348","36_6"
"349","36_7"
"350","36_8"
"351","36_9"
"352","37_1"
"353","37_10"
"354","37_11"
"355","37_12"
"356","37_2"
"357","37_3"
"358","37_4"
"359","37_5"
"360","37_6"
"361","37_7"
"362","37_8"
"363","37_9"
"364","38_1"
"365","38_10"
"366","38_11"
"367","38_12"
"368","38_2"
"369","38_3"
"370","38_4"
"371","38_5"
"372","38_6"
"373","38_7"
"374","38_8"
"375","38_9"
"376","39_1"
"377","39_10"
"378","39_11"
"379","39_12"
"380","39_2"
"381","39_3"
"382","39_4"
"383","39_5"
"384","39_6"
"385","39_7"
"386","39_8"
"387","39_9"
"388","3_1"
"389","3_10"
"390","3_2"
"391","3_3"
"392","3_4"
"393","3_5"
"394","3_6"
"395","3_7"
"396","3_8"
"397","3_9"
"398","40_1"
"399","40_10"
"400","40_11"
"401","40_12"
"402","40_2"
"403","40_3"
"404","40_4"
"405","40_5"
"406","40_6"
"407","40_7"
"408","40_8"
"409","40_9"
"410","41_1"
"411","41_10"
"412","41_11"
"413","41_12"
"414","41_2"
"415","41_3"
"416","41_4"
"417","41_5"
"418","41_6"
"419","41_7"
"420","41_8"
"421","41_9"
"422","42_1"
"423","42_10"
"424","42_11"
"425","42_12"
"426","42_2"
"427","42_3"
"428","42_4"
"429","42_5"
"430","42_6"
"431","42_7"
"432","42_8"
"433","42_9"
"434","43_1"
"435","43_10"
"436","43_11"
"437","43_12"
"438","43_2"
"439","43_3"
"440","43_4"
"441","43_5"
"442","43_6"
"443","43_7"
"444","43_8"
"445","43_9"
"446","44_1"
"447","44_10"
"448","44_11"
"449","44_12"
"450","44_2"
"451","44_3"
"452","44_4"
"453","44_5"
"454","44_6"
"455","44_7"
"456","44_8"
"457","44_9"
"458","45_1"
"459","45_10"
"460","45_11"
"461","45_12"
"462","45_2"
"463","45_3"
"464","45_4"
"465","45_5"
"466","45_6"
"467","45_7"
"468","45_8"
"469","45_9"
"470","46_1"
"471","46_10"
"472","46_11"
"473","46_12"
"474","46_2"
"475","46_3"
"476","46_4"
"477","46_5"
"478","46_6"
"479","46_7"
"480","46_8"
"481","46_9"
"482","47_1"
"483","47_10"
"484","47_11"
"485","47_12"
"486","47_2"
"487","47_3"
"488","47_4"
"489","47_5"
"490","47_6"
"491","47_7"
"492","47_8"
"493","47_9"
"494","48_1"
"495","48_10"
"496","48_11"
"497","48_12"
"498","48_2"
"499","48_3"
"500","48_4"
"501","48_5"
"502","48_6"
"503","48_7"
"504","48_8"
"505","48_9"
"506","49_1"
"507","49_10"
"508","49_11"
"509","49_12"
"510","49_2"
"511","49_3"
"512","49_4"
"513","49_5"
"514","49_6"
"515","49_7"
"516","49_8"
"517","49_9"
"518","4_1"
"519","4_10"
"520","4_2"
"521","4_3"
"522","4_4"
"523","4_5"
"524","4_6"
"525","4_7"
"526","4_8"
"527","4_9"
"528","50_1"
"529","50_10"
"530","50_11"
"531","50_12"
"532","50_2"
"533","50_3"
"534","50_4"
"535","50_5"
"536","50_6"
"537","50_7"
"538","50_8"
"539","50_9"
"540","51_1"
"541","51_10"
"542","51_11"
"543","51_12"
"544","51_2"
"545","51_3"
"546","51_4"
"547","51_5"
"548","51_6"
"549","51_7"
"550","51_8"
"551","51_9"
"552","52_1"
"553","52_10"
"554","52_11"
"555","52_12"
"556","52_2"
"557","52_3"
"558","52_4"
"559","52_5"
"560","52_6"
"561","52_7"
"562","52_8"
"563","52_9"
"564","53_1"
"565","53_10"
"566","53_11"
"567","53_12"
"568","53_2"
"569","53_3"
"570","53_4"
"571","53_5"
"572","53_6"
